NACA4414_X,NACA4414_Z
1.0000000000000000e+00,-1.4699999999999741e-03
9.9039538521761838e-01,-1.7625741285804194e-03
9.7327975991856297e-01,-2.2895637718938120e-03
9.4996354807205519e-01,-3.0221282732439091e-03
9.2527694001466199e-01,-3.8207547582252452e-03
9.0047041030280650e-01,-4.6517510420688371e-03
8.7566827973936645e-01,-5.5151821416012563e-03
8.5087837132598532e-01,-6.4140254771760255e-03
8.2609855422865586e-01,-7.3508274230095066e-03
8.0132580805464204e-01,-8.3274048638326825e-03
7.7655696677306230e-01,-9.3448116957084194e-03
7.5178876990289689e-01,-1.0403324444799335e-02
7.2701784662769775e-01,-1.1502425993379970e-02
7.0224067363754372e-01,-1.2640785701813338e-02
6.7745355770457893e-01,-1.3816233441265454e-02
6.5265262828941772e-01,-1.5025725450282756e-02
6.2783378798268130e-01,-1.6265303658393959e-02
6.0299263470471909e-01,-1.7530048090526783e-02
5.7812444725001266e-01,-1.8814014513464161e-02
5.5322416646878803e-01,-2.0110155228900448e-02
5.2831050726922424e-01,-2.1408966037349528e-02
5.0343753971383809e-01,-2.2697833754156779e-02
4.7861218100429231e-01,-2.3965347704668280e-02
4.5383988095294919e-01,-2.5198845066250374e-02
4.2912774860554131e-01,-2.6384102210989486e-02
4.0449422036376825e-01,-2.7504533270601574e-02
3.7981369238155238e-01,-2.8606465571934674e-02
3.5512876220741774e-01,-2.9775790952074322e-02
3.3034493695271805e-01,-3.0997777850139224e-02
3.0545423113429021e-01,-3.2246597405195851e-02
2.8063518241275132e-01,-3.3482256912991497e-02
2.5597545805955924e-01,-3.4664483184206160e-02
2.3150239488683200e-01,-3.5750766894884455e-02
2.0725287075170340e-01,-3.6691618072743903e-02
1.8327798733137315e-01,-3.7428702079720433e-02
1.5965067749123829e-01,-3.7892430504231855e-02
1.3647835695535998e-01,-3.7999052448021133e-02
1.1392282173773076e-01,-3.7647804645033554e-02
9.2233756203245781e-02,-3.6720243362147138e-02
7.1797766075814964e-02,-3.5087922201515395e-02
5.3193485415833769e-02,-3.2643330816640073e-02
3.7183198657760604e-02,-2.9375031118246610e-02
2.4484267264600394e-02,-2.5468978284870433e-02
1.5300800267430878e-02,-2.1299758416077834e-02
9.1162874357513350e-03,-1.7216700261330493e-02
5.0874314980154335e-03,-1.3357630185719482e-02
2.4975917536249016e-03,-9.6663581091785116e-03
9.0344956205024702e-04,-5.9856228692657283e-03
1.0465160106107251e-04,-2.0977351000192029e-03
1.0893399798276448e-04,2.1783172113637320e-03
1.0677696599152551e-03,6.9104596505187759e-03
3.2979248056246506e-03,1.2298556033462967e-02
7.3621201402749121e-03,1.8628760171015529e-02
1.3939058693778917e-02,2.5999745325975571e-02
2.3484176279215681e-02,3.4203502718155095e-02
3.5933109988374637e-02,4.2782189975867455e-02
5.0807689095731398e-02,5.1271282116824003e-02
6.7533982909233514e-02,5.9356808816655282e-02
8.5631394025037749e-02,6.6873780348546921e-02
1.0474837041779539e-01,7.3751378909178142e-02
1.2463818679810597e-01,7.9968246357639411e-02
1.4512745796780438e-01,8.5526853343493567e-02
1.6609187270019293e-01,9.0440434642196185e-02
1.8743999977475542e-01,9.4726736537070394e-02
2.0910257179662506e-01,9.8404997197854283e-02
2.3102564956506860e-01,1.0149457905829450e-01
2.5316613298625684e-01,1.0401436508253338e-01
2.7548879981842372e-01,1.0598251926889550e-01
2.9796422298741926e-01,1.0741640929538483e-01
3.2056739342146573e-01,1.0833261273086621e-01
3.4327669473268158e-01,1.0874694803833992e-01
3.6607318688233864e-01,1.0867451857077201e-01
3.8894078585659264e-01,1.0812975875824990e-01
4.1218059002453022e-01,1.0712957521576934e-01
4.3577383076292014e-01,1.0578630190814743e-01
4.5940846453431261e-01,1.0414069569181712e-01
4.8307583848039642e-01,1.0220569125239529e-01
5.0676885366733004e-01,9.9992810336049467e-02
5.3048055953366735e-01,9.7512624531386607e-02
5.5420455252366352e-01,9.4774793714360442e-02
5.7793485453293814e-01,9.1788117633539959e-02
6.0166593208930641e-01,8.8560568008165169e-02
6.2539262177880761e-01,8.5099321940007577e-02
6.4910998352186888e-01,8.1410811110514639e-02
6.7281335232453499e-01,7.7500740090220066e-02
6.9649825730600745e-01,7.3374119309285932e-02
7.2016033868776075e-01,6.9035304589040641e-02
7.4379539887390056e-01,6.4488010787596681e-02
7.6739932873505545e-01,5.9735345376657804e-02
7.9096806493658345e-01,5.4779841547854702e-02
8.1449761569651835e-01,4.9623475557573314e-02
8.3798402578738429e-01,4.4267696144677189e-02
8.6142333223102241e-01,3.8713458866592929e-02
8.8481142096174481e-01,3.2961287455407405e-02
9.0814254759100943e-01,2.7011689681676627e-02
9.3139434993912495e-01,2.0869286745955257e-02
9.5438126853360805e-01,1.4584380997891737e-02
9.7567650178111076e-01,8.5700693895336584e-03
9.9107128589049531e-01,4.1051926548017837e-03
1.0000000000000000e+00,1.4699999999999741e-03
