RE7_alpha,RE7_CL,RE7_CD,RE7_CDp
-6,-0.5452,0.00674,0.00239
-5,-0.4339,0.0064,0.00182
-4,-0.3216,0.00623,0.00141
-3,-0.2089,0.00614,0.0011
-2,-0.0958,0.00611,0.00087
-1,0.0177,0.00611,0.00074
0,0.1316,0.0061,0.00068
1,0.245,0.00589,0.00068
2,0.3553,0.00497,0.00072
3,0.4665,0.00458,0.00087
4,0.579,0.00468,0.00107
5,0.6889,0.0049,0.00134
6,0.7994,0.0054,0.00171
7,0.92,0.00623,0.00231
8,1.0262,0.00738,0.0032
9,1.1308,0.00841,0.00411
10,1.2357,0.00942,0.00507
11,1.339,0.0105,0.00615
12,1.44,0.01172,0.00737
13,1.5382,0.01305,0.00874
14,1.6311,0.0147,0.01043
15,1.7175,0.01664,0.01246
16,1.797,0.01871,0.01461
17,1.8568,0.02139,0.01742
18,1.8768,0.02579,0.02201
19,1.8733,0.03493,0.03142
20,1.8092,0.05654,0.05346
